model,state,checkpoint,epoch,update,full_state,metric,panel,value,unit,direction,denominator,measurement_status,source_artifact_path,source_artifact_sha256,source_artifact_bytes,m0_value,m0_denominator,delta_from_m0,relative_delta_pct,comparison_status
olmo,olmo/epoch-001,epoch-001,1,7,False,wikitext_bpb,wikitext,0.6639848236944449,bits/byte,lower,62,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/harness/raw/__vol__tmp2__yesildau__m1_matched_three_model_retry_v1__training__olmo__20260822T155242Z_m1_matched_epoch_dense_olmo_seed42_30cd6396__epoch_snapshots__epoch-001/results_2026-08-23T14-27-50.639334.json,fa4d5290eb194e8601c4862af8191adc1678402212fcbdecd6f38cff3eeb8555,12379,0.6597443057015225,62,0.004240517992922355,0.6427517382530958,direct_same_metric_and_denominator
olmo,olmo/epoch-001,epoch-001,1,7,False,wikitext_word_ppl,wikitext,11.7177694906752,PPL,lower,62,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/harness/raw/__vol__tmp2__yesildau__m1_matched_three_model_retry_v1__training__olmo__20260822T155242Z_m1_matched_epoch_dense_olmo_seed42_30cd6396__epoch_snapshots__epoch-001/results_2026-08-23T14-27-50.639334.json,fa4d5290eb194e8601c4862af8191adc1678402212fcbdecd6f38cff3eeb8555,12379,11.535032064152116,62,0.18273742652308478,1.5841952194566087,direct_same_metric_and_denominator
olmo,olmo/epoch-001,epoch-001,1,7,False,wikitext_byte_ppl,wikitext,1.5844529542466224,PPL,lower,62,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/harness/raw/__vol__tmp2__yesildau__m1_matched_three_model_retry_v1__training__olmo__20260822T155242Z_m1_matched_epoch_dense_olmo_seed42_30cd6396__epoch_snapshots__epoch-001/results_2026-08-23T14-27-50.639334.json,fa4d5290eb194e8601c4862af8191adc1678402212fcbdecd6f38cff3eeb8555,12379,1.5798026045225246,62,0.004650349724097724,0.29436270777026813,direct_same_metric_and_denominator
olmo,olmo/epoch-001,epoch-001,1,7,False,exact_prefix_top1_accuracy,exact_prefix,0.046,fraction,higher,500,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/exact_prefix/raw/20260823T125923Z_9199fe21/summary_metrics.json,5afed22de4ffbce4fc7b8fee5dd5a58d3a46689fd2032980c74265cb30534b10,1760,0.022,500,0.024,109.0909090909091,direct_same_metric_and_denominator
olmo,olmo/epoch-001,epoch-001,1,7,False,exact_prefix_top5_accuracy,exact_prefix,0.15,fraction,higher,500,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/exact_prefix/raw/20260823T125923Z_9199fe21/summary_metrics.json,5afed22de4ffbce4fc7b8fee5dd5a58d3a46689fd2032980c74265cb30534b10,1760,,,,,no_m0_reference
olmo,olmo/epoch-001,epoch-001,1,7,False,exact_prefix_mrr,exact_prefix,0.12146169101254914,fraction,higher,500,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/exact_prefix/raw/20260823T125923Z_9199fe21/summary_metrics.json,5afed22de4ffbce4fc7b8fee5dd5a58d3a46689fd2032980c74265cb30534b10,1760,,,,,no_m0_reference
olmo,olmo/epoch-001,epoch-001,1,7,False,exact_prefix_mean_rank,exact_prefix,38.884,rank,lower,500,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/exact_prefix/raw/20260823T125923Z_9199fe21/summary_metrics.json,5afed22de4ffbce4fc7b8fee5dd5a58d3a46689fd2032980c74265cb30534b10,1760,,,,,no_m0_reference
olmo,olmo/epoch-001,epoch-001,1,7,False,exact_prefix_mean_score_margin,exact_prefix,-2.4011426265743188,logprob,higher,500,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/exact_prefix/raw/20260823T125923Z_9199fe21/summary_metrics.json,5afed22de4ffbce4fc7b8fee5dd5a58d3a46689fd2032980c74265cb30534b10,1760,,,,,no_m0_reference
olmo,olmo/epoch-001,epoch-001,1,7,False,factual_cheap_top1_count,factual_cheap,30,count,higher,1500,completed,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/factual_cheap/raw/summary.json,b8ccedaaa1ff3c4bae898a0930108c1b0080cf2810ae1be10d684d4ee6d9bfd8,322,,,,,no_m0_reference
olmo,olmo/epoch-001,epoch-001,1,7,False,turkish_bpb,turkish_cross_domain,1.677020783852316,bits/byte,lower,9653767,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/turkish_perplexity/raw/trwiki_cross_domain/summary.json,858327e68ec2a11356825bdb2355f3fd32a86020d514077d6c98c2531e2916e2,938,1.6476820673132215,9653767,0.029338716539094367,1.7806054408867416,direct_same_metric_and_denominator
olmo,olmo/epoch-001,epoch-001,1,7,False,turkish_ppl,turkish_cross_domain,23.721524516138594,PPL,lower,9653767,measured,/vol/tmp2/yesildau/m1_eval_v2_matched_three_model_v3/results/olmo/epoch-001/turkish_perplexity/raw/trwiki_cross_domain/summary.json,858327e68ec2a11356825bdb2355f3fd32a86020d514077d6c98c2531e2916e2,938,22.443216640433842,9653767,1.2783078757047512,5.695742710079016,direct_same_metric_and_denominator
